"Rk","Pick","Year","Height","Name","Del","TeamName","Team","Conf","G","Role","Min%","PRPG!","D-PRPG","BPM","OBPM","DBPM","ORtg","D-Rtg","Usg","eFG","TS","OR","DR","Ast","TO","A/TO","Blk","Stl","FTR","FC/40","Dunks","","Close 2","","Far 2","","FT","","2P","","3PR","3P/100","3P","3pp"
"16","-","Sr","6-10","Tanner Christensen","0","Hawaii","BW","26","PF/C","60.0","2.5","2.2","1.8","1.6","0.2","115.2","105.4","23.2","60.4","63.3","13.5","21.1","9.2","18.9","0.6","3.2","0.6","74.4","5.1","32-34",".941","85-132",".644","8-23",".348","83-122",".680","93-155",".600","5.5","0.9","4-9",".444"
"17","-","Sr","6-2","Isaac Jessup","0","Cal Poly","BW","25","Combo G","68.0","2.4","2.1","2.3","2.0","0.3","119.5","112.4","15.1","60.5","61.4","2.6","9.5","14.5","15.5","1.9","0.3","2.8","10.0","3.0","0-0",".000","19-29",".655","3-11",".273","16-21",".762","22-40",".550","81.0","11.7","70-170",".412"
"18","-","Sr","6-6","John Mikey Square","0","Cal St. Fullerton","BW","19","PF/C","37.0","2.2","1.2","1.6","1.8","-0.2","126.9","115.1","16.2","57.1","67.2","8.6","7.2","11.7","15.3","1.2","3.1","1.5","91.4","4.1","2-2","1.000","34-58",".586","6-12",".500","55-64",".859","40-70",".571","0.0","0.0","0-0",".000"
"19","-","Sr","6-6","Keonte Jones","0","Cal St. Northridge","BW","26","PF/C","76.6","2.2","3.9","6.4","2.5","3.9","108.2","95.1","23.7","50.0","53.9","10.5","23.8","23.8","20.3","1.6","6.7","3.3","52.0","4.0","15-16",".938","97-167",".581","11-51",".216","85-128",".664","108-218",".495","11.4","1.9","10-28",".357"
"20","-","Fr","6-4","Peter Bandelj","0","Cal Poly","BW","28","Wing G","59.4","2.2","1.4","-0.3","1.4","-1.7","115.9","115.2","19.6","48.4","57.1","4.9","13.2","14.5","13.6","1.6","0.3","0.9","66.5","3.1","0-0",".000","55-88",".625","3-15",".200","99-123",".805","58-103",".563","44.3","6.4","21-82",".256"
"21","-","Jr","6-4","Scotty Washington","0","Cal St. Northridge","BW","26","Wing G","72.1","2.2","2.6","1.0","1.2","-0.2","110.7","106.1","22.3","51.9","57.1","2.1","9.8","9.4","16.0","0.8","1.2","1.8","32.4","3.1","0-0",".000","28-61",".459","55-112",".491","83-96",".865","83-173",".480","41.6","9.0","47-123",".382"
"22","-","Jr","6-1","Isaiah Moses","0","UC Riverside","BW","28","Scoring PG","66.1","2.1","1.9","0.0","1.0","-1.0","108.3","111.7","23.1","48.9","53.9","1.0","7.1","21.7","17.3","1.7","0.1","1.8","22.6","3.0","0-0",".000","28-53",".528","40-92",".435","59-62",".952","68-145",".469","47.1","10.1","44-129",".341"
"23","-","Jr","6-3","Nate Pickens","0","UC Riverside","BW","28","Wing G","67.5","2.1","2.1","1.5","1.4","0.1","111.8","109.7","19.7","51.7","56.9","5.1","10.7","12.7","17.5","1.2","1.8","1.7","46.4","4.0","3-3","1.000","30-64",".469","15-46",".326","74-97",".763","45-110",".409","47.4","7.6","42-99",".424"
"24","-","Sr","6-3","Ty Johnson","0","UC Davis","BW","26","Scoring PG","84.6","1.9","3.7","0.7","0.1","0.5","91.0","100.4","38.5","41.8","47.8","2.9","11.0","23.4","18.1","0.7","0.4","3.9","39.5","2.8","2-2","1.000","56-134",".418","101-244",".414","148-194",".763","157-378",".415","23.0","7.5","32-113",".283"
"25","-","Jr","6-6","Corey Stephenson","0","Cal St. Bakersfield","BW","27","Wing F","64.8","1.9","1.9","-1.8","-0.2","-1.7","104.0","111.7","25.0","48.9","53.2","9.3","15.4","9.0","19.2","0.5","0.9","2.4","28.0","5.3","10-11",".909","47-84",".560","66-158",".418","62-76",".816","113-242",".467","10.7","2.4","13-29",".448"
"26","-","So","6-6","Jason Fontenet II","0","UC Santa Barbara","BW","27","Wing F","76.7","1.8","3.0","0.2","-0.5","0.6","110.5","103.8","19.1","50.7","55.8","4.2","19.2","15.7","16.9","1.6","1.0","1.7","37.6","3.4","3-3","1.000","35-56",".625","31-71",".437","63-79",".797","66-127",".520","39.5","6.1","27-83",".325"
"27","-","Jr","6-6","Chris Howell","57.4","UC San Diego","BW","27","Scoring PG","73.9","1.8","3.8","3.7","-0.4","4.2","120.5","95.0","12.8","53.5","58.2","4.5","10.5","16.6","17.4","2.8","1.2","4.2","50.4","4.0","1-3",".333","26-50",".520","7-15",".467","43-58",".741","33-65",".508","43.5","3.7","19-50",".380"
"28","-","Jr","6-2","Donovan Oday","0","Cal St. Fullerton","BW","27","Wing G","62.6","1.7","1.8","-0.5","0.8","-1.3","98.7","111.5","29.1","47.9","54.0","3.2","19.6","14.7","17.8","0.6","0.4","2.0","50.7","3.6","9-11",".818","82-168",".488","15-41",".366","102-136",".750","97-209",".464","22.0","5.1","21-59",".356"
"29","-","Sr","6-4","Zion Richardson","0","Cal St. Fullerton","BW","20","Wing G","34.4","1.7","1.3","1.0","2.1","-1.1","114.2","112.7","20.5","56.7","62.5","5.2","16.4","11.4","17.7","0.8","0.3","1.9","45.2","4.1","0-0",".000","14-21",".667","9-16",".563","40-47",".851","23-37",".622","64.4","10.5","24-67",".358"
