RK,Pick,YEAR,HEIGHT,PLAYER,TEAM,CONF,POS,Role,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,D-Rtg,USG,EFG,TS,OR,DR,AST,TO,A/TO,BLK,STL,FTR,FC/40,Dunks,Close 2,Far 2,FT,2P,3PR,3P/100,3P
547,-,Sr,6-7,Dominik Heinzl,Cal St. Fullerton,BW,PF/C,17.9,0.0,0.8,-3.0,-3.5,0.5,101.1,104.6,12.5,58.8,71.0,6.7,13.4,2.4,26.4,0.2,1.7,1.4,55.5,5.5,3-3,1.000,0.718,0.414,0.703,0.588,0.0,0-0,0.000
548,-,Sr,6-7,KJ Byers,Long Beach St.,BW,Stretch 4,46.3,0.0,2.1,-0.5,-1.9,1.4,89.8,101.6,18.3,49.1,51.9,6.8,19.2,7.4,26.1,0.5,4.9,2.5,51.9,4.1,22-23,0.957,0.701,0.352,0.590,0.551,3.9,21-89,0.236
549,-,So,5-11,DJ McDonald,UC Riverside,BW,Combo G,27.4,0.0,0.9,-3.5,-2.5,-1.1,99.7,112.1,13.4,47.8,51.3,0.7,5.6,11.7,16.7,1.8,0.1,1.6,17.9,2.7,0-0,0.000,0.400,0.250,0.808,0.344,9.3,37-107,0.346
550,-,Jr,7-0,Xavier Crawford,Cal St. Northridge,BW,null,10.1,0.0,0.5,-5.2,-5.6,0.3,90.0,97.3,18.6,43.8,49.0,13.2,12.2,1.5,27.0,0.1,3.9,1.8,31.3,8.2,0-0,0.000,0.000,0.000,0.800,0.438,0.0,0-0,0.000
551,-,Sr,6-8,John Manley,Cal Poly,BW,null,19.0,0.0,0.9,-3.6,-2.8,-0.7,96.9,106.8,11.5,55.3,49.1,8.6,16.7,8.8,23.4,0.8,1.0,0.8,69.3,3.8,0-0,0.000,0.000,0.000,0.313,0.553,0.0,0-0,0.000
552,-,Jr,6-7,Jack Schoemann,Cal St. Bakersfield,BW,Stretch 4,2.6,0.0,0.3,-4.0,-2.4,-1.7,93.0,105.1,16.1,46.3,62.1,9.4,16.0,4.9,20.9,0.8,0.0,1.5,29.5,3.6,1-1,1.000,0.579,0.000,0.571,0.550,3.5,1-7,0.143
553,-,Sr,6-8,Zach Gordon,Cal Poly,BW,C,29.3,0.0,1.1,-4.9,-4.8,-0.1,93.2,104.7,15.0,44.2,48.4,10.5,20.3,2.2,20.7,0.2,4.6,1.7,74.9,7.2,35-39,0.897,0.560,0.270,0.580,0.446,0.1,0-2,0.000
554,-,Jr,6-2,Cleavon Barlow,UC Riverside,BW,null,32.4,0.0,1.3,-4.4,-4.2,-0.2,87.4,105.4,19.0,54.4,58.0,8.5,14.7,12.6,37.1,0.5,1.1,2.4,58.8,5.3,0-0,0.000,0.000,0.000,0.716,0.557,1.6,6-19,0.316
555,-,So,6-7,Quin Patterson,UC San Diego,BW,Stretch 4,7.1,0.0,0.3,-3.2,-1.0,-2.2,102.2,114.2,12.4,44.6,60.7,1.9,4.5,2.1,0.0,2.5,0.6,1.3,4.3,2.4,0-0,0.000,0.600,0.333,1.000,0.500,12.6,11-38,0.289
556,-,Jr,6-2,Dwight Gordon,UC Riverside,BW,Combo G,43.8,0.0,1.4,-3.2,-2.8,-0.5,90.2,106.2,17.7,41.7,43.5,0.7,6.4,16.4,16.4,1.5,0.8,1.7,29.4,2.2,1-1,1.000,0.481,0.372,0.541,0.396,2.7,7-20,0.350
557,-,So,6-8,Lathaniel Bastian,Cal St. Fullerton,BW,C,21.3,0.0,1.1,-2.3,-4.7,2.3,92.0,93.8,16.4,52.6,53.9,13.4,18.4,4.9,24.5,0.3,3.4,3.0,107.9,8.3,1-1,1.000,0.541,0.000,0.415,0.526,0.0,0-0,0.000
558,-,Sr,6-10,Alex Larsson,UC Riverside,BW,C,50.2,0.0,1.8,-5.3,-4.4,-0.9,90.7,105.4,18.2,49.9,51.2,9.9,15.2,4.0,22.2,0.3,3.0,0.5,42.1,6.0,14-15,0.933,0.621,0.382,0.524,0.499,0.0,0-0,0.000
559,-,Jr,6-9,Sam Phippen,UC Santa Barbara,BW,Stretch 4,14.0,0.0,0.8,-2.9,-2.6,-0.3,92.9,99.0,14.0,56.5,56.4,3.9,17.3,4.9,25.7,0.4,1.2,0.6,39.9,4.1,1-1,1.000,0.556,0.571,0.541,0.541,3.7,13-32,0.406
560,-,Jr,6-6,Kevin Menner,Cal St. Northridge,BW,PF/C,19.8,0.0,0.8,-4.9,-2.7,-2.3,82.5,105.9,23.8,40.2,43.3,6.8,12.2,5.4,20.4,0.3,1.3,1.1,51.1,2.7,2-2,1.000,0.600,0.338,0.532,0.411,0.4,0-2,0.000
561,-,Jr,6-4,Darrian Traylor,UC Irvine,BW,Wing G,8.1,0.0,0.6,-2.0,-1.8,-0.1,93.3,100.6,18.3,43.2,56.8,4.6,13.9,11.6,17.8,1.1,0.3,1.0,21.4,3.4,0-0,0.000,0.471,0.333,0.550,0.435,13.5,23-80,0.287
562,-,Jr,6-5,Reed McConnell,UC Irvine,BW,PF/C,2.1,0.0,0.3,-6.5,-6.2,-0.3,95.2,102.3,11.2,25.0,49.3,4.3,3.9,15.6,0.0,3.0,0.0,2.2,0.0,5.1,0-0,0.000,0.000,0.000,0.000,0.000,6.7,2-6,0.333
563,-,Jr,6-8,Matija Svetozarevic,Hawaii,BW,Wing F,7.7,0.0,0.7,-2.9,-2.4,-0.6,88.5,104.4,14.9,37.2,51.1,3.4,15.8,7.8,15.8,1.0,0.6,1.0,29.2,3.4,1-1,1.000,0.462,0.143,1.000,0.350,7.3,7-27,0.259
