RK,Pick,YEAR,HEIGHT,PLAYER,TEAM,CONF,POS,Role,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,D-Rtg,USG,EFG,TS,OR,DR,AST,TO,A/TO,BLK,STL,FTR,FC/40,Dunks,Close 2,Far 2,FT,2P,3PR,3P/100,3P
610,-,Jr,6-5,Ben Vozzola,Cal St. Northridge,BW,Combo G,21.8,-0.2,0.5,-6.2,-3.4,-2.7,85.8,113.9,19.6,45.5,47.3,1.7,11.7,17.4,28.1,0.9,0.0,1.6,6.8,4.2,0-0,0.000,0.500,0.250,1.000,0.325,9.4,18-48,0.375
611,-,Sr,6-6,Therin Taylor,Cal St. Northridge,BW,Wing G,18.9,-0.2,1.0,-3.4,-4.1,0.7,85.5,99.2,17.7,39.3,47.2,7.3,14.0,7.0,27.1,0.4,2.2,2.3,69.0,5.7,3-3,1.000,0.462,0.286,0.670,0.434,1.6,2-21,0.095
612,-,Sr,6-3,Christian Peterson,UC Santa Barbara,BW,PF/C,17.7,-0.2,0.8,-4.9,-4.0,-0.9,91.5,103.9,11.2,35.5,43.9,13.0,10.7,6.3,32.6,0.7,0.3,1.9,73.5,5.9,0-0,0.000,0.500,0.217,0.696,0.324,0.1,1-1,1.000
613,-,So,6-2,Jason Hart Jr.,Long Beach St.,BW,Scoring PG,8.0,-0.2,0.4,-7.7,-5.6,-2.0,89.8,114.0,14.5,36.3,54.0,3.7,5.2,18.8,23.7,1.6,0.5,1.9,32.2,5.7,0-0,0.000,0.600,0.100,0.769,0.400,4.0,3-15,0.200
614,-,So,6-6,Tre Owens,UC Riverside,BW,Wing G,10.2,-0.2,0.6,-4.6,-2.3,-2.2,84.9,107.2,15.9,37.7,39.0,1.0,10.6,7.5,10.0,1.6,1.0,1.3,8.5,1.3,0-0,0.000,0.000,0.200,0.667,0.182,15.4,16-58,0.276
615,-,Sr,6-5,Jordan Turner,Pacific,BW,Wing F,3.9,-0.2,0.3,-3.9,-3.3,-0.5,98.6,103.6,9.3,33.3,33.5,7.6,17.4,9.5,20.0,1.3,0.8,0.9,58.5,4.2,0-0,0.000,0.500,0.111,0.333,0.182,1.8,2-4,0.500
616,-,Jr,6-8,Iggy Nujic,UC Davis,BW,Stretch 4,40.3,-0.2,0.8,-7.8,-4.5,-3.3,86.2,118.4,21.1,45.4,48.1,3.7,14.9,7.2,20.7,0.5,1.1,0.9,27.0,5.3,0-0,0.000,0.523,0.306,0.658,0.425,7.6,20-61,0.328
617,-,Sr,6-2,Jordan Brinson,Cal St. Northridge,BW,Combo G,22.3,-0.2,1.8,-1.6,-2.5,0.9,91.8,102.5,15.1,38.9,45.4,4.1,14.3,15.3,19.1,2.0,1.3,2.2,40.5,3.5,3-3,1.000,0.515,0.290,0.593,0.430,4.7,24-110,0.218
618,-,Sr,6-3,Eric Williams,Cal St. Fullerton,BW,Scoring PG,12.4,-0.2,0.4,-4.3,-4.3,0.0,90.7,109.2,14.8,43.9,56.5,2.8,10.1,14.7,34.6,1.0,0.4,2.7,73.8,7.5,0-0,0.000,0.500,0.316,0.848,0.360,3.1,6-16,0.375
619,-,So,6-11,Derek Oestreicher,UC Davis,BW,null,8.4,-0.2,0.3,-9.3,-8.7,-0.6,76.6,107.8,17.1,36.8,47.7,3.6,9.9,5.1,31.4,0.3,2.9,1.6,68.4,9.0,0-0,0.000,0.000,0.000,0.769,0.389,0.5,0-1,0.000
620,-,Jr,6-4,Isa Silva,Long Beach St.,BW,Combo G,31.1,-0.2,1.1,-4.7,-4.4,-0.3,83.4,105.2,16.7,43.6,47.2,1.5,6.6,16.0,27.9,1.2,0.6,2.0,23.7,4.1,1-1,1.000,0.448,0.297,0.591,0.389,4.1,32-90,0.356
621,-,Jr,6-8,B.J. Visman,UC Riverside,BW,null,19.2,-0.2,0.5,-8.0,-5.8,-2.2,82.2,108.9,17.9,41.5,47.2,11.7,17.4,2.1,26.1,0.1,4.1,0.5,20.8,5.5,0-0,0.000,0.000,0.000,0.727,0.440,0.8,0-3,0.000
622,-,Jr,6-9,Josh Pitts,Cal St. Fullerton,BW,C,10.6,-0.2,0.5,-9.9,-7.9,-2.0,83.5,107.4,17.6,45.3,54.6,12.2,8.1,4.7,25.2,0.3,0.5,0.5,73.5,9.6,5-6,0.833,0.577,0.174,0.423,0.453,0.0,0-0,0.000
623,-,Fr,7-0,Mike Kurtz,UC Davis,BW,PF/C,24.4,-0.2,0.7,-3.8,-4.5,0.6,88.1,106.3,14.1,45.8,47.8,2.8,13.0,6.9,19.4,0.8,8.7,0.6,13.3,6.2,1-1,1.000,0.500,0.389,0.750,0.438,5.9,9-28,0.321
624,-,Sr,6-10,Hank Hollingsworth,Cal Poly,BW,C,25.8,-0.2,1.0,-5.0,-4.7,-0.3,93.9,111.7,11.9,57.6,56.5,7.8,15.4,1.9,24.7,0.2,7.1,0.6,51.8,4.9,34-40,0.850,0.629,0.303,0.389,0.576,0.0,0-0,0.000
625,-,Jr,6-3,Grehlon Easter,Cal St. Bakersfield,BW,Wing G,21.6,-0.2,0.8,-4.0,-3.6,-0.3,92.0,108.0,13.7,39.9,49.5,4.2,6.2,8.7,18.5,1.3,0.4,2.3,24.6,4.8,0-0,0.000,0.429,0.304,0.750,0.352,5.4,21-68,0.309
626,-,So,6-1,Jesse Woodard,Long Beach St.,BW,Combo G,29.4,-0.2,0.8,-6.6,-4.6,-2.0,78.7,109.9,19.7,38.9,44.7,1.7,8.2,14.1,24.9,0.9,0.3,1.6,26.9,4.3,0-0,0.000,0.300,0.400,0.667,0.393,8.5,26-101,0.257
627,-,Jr,6-7,Anthony Swan,Cal St. Northridge,BW,Combo G,8.4,-0.2,0.4,-4.1,-4.2,0.0,81.7,105.1,15.1,40.2,43.3,4.7,11.6,10.4,20.7,1.4,3.9,1.6,4.1,5.5,0-1,0.000,0.462,0.333,0.000,0.375,7.2,12-42,0.286
628,-,Jr,5-9,Dyrbe Enos,Hawaii,BW,Combo G,4.1,-0.2,0.3,-8.6,-5.8,-2.8,77.9,109.6,16.5,40.0,38.7,0.7,6.8,6.8,23.7,0.6,0.0,1.1,12.3,5.3,0-0,0.000,0.000,0.000,0.333,0.000,15.4,12-42,0.286
629,-,Sr,6-0,Paul Roemer,UC Santa Barbara,BW,Combo G,33.4,-0.2,1.7,-1.1,-3.4,2.4,89.9,97.1,13.0,43.7,50.2,2.8,7.9,18.1,30.8,1.4,1.2,3.2,48.2,4.8,0-0,0.000,0.333,0.250,0.671,0.415,4.5,28-93,0.301
630,-,Sr,6-8,Blair Orr,Cal St. Northridge,BW,C,3.7,-0.2,0.4,-9.6,-6.9,-2.7,86.9,114.6,14.5,46.9,64.9,4.9,10.1,3.5,21.1,0.3,2.1,0.4,14.6,7.6,0-0,0.000,0.429,0.500,0.800,0.469,0.0,0-0,0.000
631,-,Jr,6-2,Logan McLaughlin,Cal Poly,BW,Combo G,6.5,-0.2,0.7,-6.5,-5.3,-1.1,76.6,96.6,18.5,40.7,75.2,1.4,13.8,9.9,24.4,1.2,0.0,1.6,12.7,3.9,0-0,0.000,0.364,0.200,0.667,0.313,13.2,17-59,0.288
632,-,So,5-11,Justin Brown,Cal Poly,BW,Combo G,24.5,-0.2,0.8,-6.1,-4.6,-1.5,81.6,110.1,22.2,37.4,45.9,1.2,5.6,13.8,27.1,0.7,0.0,2.9,58.2,3.8,0-0,0.000,0.367,0.150,0.727,0.349,4.7,13-45,0.289
633,-,Jr,6-7,Luka Tarlac,Cal Poly,BW,Wing G,13.5,-0.2,1.1,-1.2,-3.4,2.1,81.7,100.7,16.0,54.3,54.6,6.6,11.4,11.4,38.5,0.7,3.3,3.8,58.1,4.2,5-6,0.833,0.600,0.400,0.523,0.587,0.6,0-6,0.000
634,-,Sr,6-8,Edis Dervisevic,Long Beach St.,BW,PF/C,34.1,-0.2,1.6,-1.7,-3.8,2.1,87.8,97.9,13.7,50.0,49.8,5.5,13.4,12.8,30.1,1.0,2.7,1.0,36.1,6.1,0-0,0.000,0.644,0.459,0.460,0.529,1.2,4-19,0.211
635,-,Jr,6-6,Chuck Coley,Pacific,BW,Stretch 4,12.6,-0.2,0.6,-3.5,-4.3,0.9,80.4,100.4,15.7,38.0,39.0,9.2,10.8,13.5,30.6,0.9,3.0,1.8,16.0,5.1,1-1,1.000,0.667,0.250,0.500,0.333,4.4,3-10,0.300
636,-,Jr,6-8,Justin Dueck,UC Davis,BW,C,10.4,-0.2,0.4,-8.5,-6.3,-2.2,98.2,119.2,7.0,50.0,50.0,9.6,8.0,2.2,27.3,0.4,1.7,0.5,58.0,7.9,0-0,0.000,0.455,0.667,0.375,0.500,0.0,0-0,0.000
637,-,Sr,6-3,Austin Quick,UC Riverside,BW,Scoring PG,41.6,-0.2,1.4,-2.9,-3.3,0.4,87.7,104.3,17.0,44.4,47.3,1.8,10.7,20.8,26.7,1.3,0.4,2.6,26.8,3.3,1-2,0.500,0.485,0.377,0.696,0.445,7.8,73-247,0.296
638,-,Fr,6-2,Troy Leaf,UC Santa Barbara,BW,Wing G,19.9,-0.2,0.7,-6.4,-4.3,-2.2,80.1,104.2,18.5,37.5,42.6,2.2,10.1,11.0,23.3,0.8,0.0,1.0,28.3,3.5,0-0,0.000,0.545,0.261,0.765,0.343,6.3,7-25,0.280
639,-,So,6-3,Camden McCormick,UC San Diego,BW,Combo G,12.5,-0.2,0.5,-5.9,-5.9,0.0,90.0,109.3,10.0,27.6,64.1,3.7,13.7,15.6,18.4,5.1,0.4,1.5,47.1,6.2,0-0,0.000,0.409,0.000,0.615,0.346,2.3,1-12,0.083
640,-,So,6-0,Niko Filipovich,Hawaii,BW,Wing G,6.5,-0.2,0.4,-8.9,-8.2,-0.7,75.4,102.1,17.3,28.6,38.2,2.0,8.5,13.0,32.0,0.7,0.0,2.0,42.6,6.3,0-0,0.000,0.600,0.667,0.933,0.636,7.9,2-24,0.083
641,-,Jr,6-5,Delonte Taylor,UC Riverside,BW,Stretch 4,16.8,-0.2,0.5,-7.5,-4.3,-3.1,80.6,108.0,17.4,37.5,36.6,8.0,16.1,3.2,14.1,0.4,1.3,0.9,10.0,4.3,0-0,0.000,0.667,0.111,0.167,0.364,8.3,7-27,0.259
642,-,So,6-7,Robert Boezeman,UC Riverside,BW,Stretch 4,25.4,-0.3,0.9,-4.7,-4.2,-0.5,90.6,106.5,13.5,50.4,56.5,5.0,11.6,3.3,22.6,0.4,1.9,0.8,23.9,5.6,8-9,0.889,0.641,0.095,0.500,0.450,5.7,22-59,0.373
643,-,Sr,6-4,Lawrence White,UC Davis,BW,Wing G,58.8,-0.3,2.7,-0.1,-3.0,2.8,90.4,99.2,15.6,46.8,49.8,2.8,12.3,11.1,19.5,1.0,2.2,2.7,36.5,4.2,25-27,0.926,0.621,0.333,0.521,0.484,4.2,32-110,0.291
644,-,Sr,6-6,Reggie Theus Jr.,Cal St. Northridge,BW,Wing F,21.0,-0.3,0.7,-6.6,-3.9,-2.8,87.6,117.2,17.0,42.9,43.6,5.0,6.2,5.9,15.6,0.7,0.9,1.1,33.1,3.9,6-6,1.000,0.532,0.331,0.524,0.417,0.9,7-17,0.412
645,-,Jr,6-7,Kobe Young,Cal St. Fullerton,BW,Wing F,21.4,-0.3,1.2,-3.7,-2.7,-1.1,91.5,108.2,17.5,44.1,48.4,6.3,19.8,5.2,19.0,0.7,1.1,1.0,30.6,2.8,11-12,0.917,0.579,0.289,0.615,0.496,5.0,16-71,0.225
646,-,So,6-6,B.J. Shaw,UC Davis,BW,PF/C,9.4,-0.3,1.2,-7.1,-6.1,-1.0,79.2,100.6,17.7,42.4,58.9,7.0,20.5,3.1,25.6,0.2,0.6,1.8,25.2,5.9,0-0,0.000,0.609,0.200,0.667,0.419,0.9,1-3,0.333
647,-,Sr,6-10,Kennedy Esume,Cal St. Fullerton,BW,C,40.0,-0.3,1.3,-4.1,-3.4,-0.7,88.5,105.7,15.2,41.7,43.4,10.7,18.6,3.1,18.4,0.3,3.0,1.4,43.6,5.4,8-11,0.727,0.557,0.327,0.494,0.417,0.0,0-0,0.000
648,-,Sr,6-9,Peter Simek,UC Irvine,BW,C,15.8,-0.3,0.6,-8.4,-5.6,-2.8,80.9,107.2,16.6,38.7,39.6,10.5,13.6,1.5,19.4,0.1,3.1,0.7,28.6,5.4,1-1,1.000,0.522,0.358,0.440,0.400,0.4,0-3,0.000
649,-,So,6-8,TJ Burke,UC Riverside,BW,C,6.8,-0.3,0.7,-5.9,-6.4,0.5,75.4,97.4,17.0,39.1,40.3,9.9,20.8,1.5,24.0,0.1,5.3,0.0,42.5,6.7,0-0,0.000,0.500,0.350,0.455,0.393,1.6,1-4,0.250
650,-,Jr,6-8,"Aaron Price, Jr.",Cal Poly,BW,Wing F,32.4,-0.3,0.8,-5.8,-3.9,-1.9,91.9,115.0,15.9,48.2,51.1,6.9,11.8,4.3,18.8,0.4,1.1,0.9,30.4,4.8,10-13,0.769,0.659,0.333,0.600,0.540,3.5,11-51,0.216
651,-,Sr,6-1,Robert Smith,UC Riverside,BW,Combo G,54.9,-0.3,2.4,-4.2,-3.2,-1.0,82.8,104.0,21.7,40.7,44.7,1.8,11.5,22.7,27.2,1.1,0.0,2.1,28.9,2.8,0-0,0.000,0.469,0.270,0.691,0.379,7.2,95-320,0.297
652,-,So,6-7,Cole Haller,Cal Poly,BW,Wing F,5.1,-0.3,0.3,-9.4,-7.6,-1.9,80.8,111.6,12.8,36.7,49.2,3.7,9.5,1.6,17.2,0.2,3.3,0.0,0.0,7.2,0-1,0.000,0.000,0.417,0.000,0.278,5.5,4-12,0.333
653,-,So,6-11,Elijah Chol,UC Irvine,BW,C,3.8,-0.3,0.5,-0.5,-6.6,6.1,68.2,88.3,11.9,33.3,61.0,3.6,15.5,1.7,24.7,0.6,15.5,1.2,114.0,5.2,2-2,1.000,0.364,0.000,0.538,0.364,0.6,0-1,0.000
654,-,Sr,5-11,Dathan Lyles,Cal St. Northridge,BW,Scoring PG,35.9,-0.3,1.5,-3.9,-3.5,-0.4,82.9,105.4,17.3,36.8,41.4,1.1,9.2,26.4,28.3,1.5,0.3,2.5,27.4,4.0,0-0,0.000,0.615,0.235,0.732,0.330,6.0,26-95,0.274
655,-,So,5-9,Michael Pearson Jr.,UC San Diego,BW,Combo G,8.4,-0.3,0.5,-6.9,-4.5,-2.4,79.0,110.0,17.8,31.6,59.6,0.6,8.7,12.7,13.0,2.5,0.0,2.3,24.7,2.5,0-0,0.000,0.250,0.077,0.786,0.143,10.2,10-36,0.278
656,-,Jr,6-0,Brice Gallow,Long Beach St.,BW,null,23.7,-0.3,0.6,-5.1,-4.1,-1.0,87.1,111.0,14.5,51.1,55.1,2.7,9.9,15.4,34.1,0.9,0.7,2.3,30.4,3.2,0-0,0.000,0.000,0.000,0.786,0.571,3.7,5-18,0.278
657,-,Fr,6-1,Nick Fleming,Cal Poly,BW,Combo G,27.8,-0.3,1.3,-3.5,-3.9,0.4,86.2,104.0,16.7,40.6,48.1,2.4,12.3,17.6,21.0,1.6,0.5,2.4,28.0,4.3,0-0,0.000,0.511,0.240,0.579,0.371,7.7,38-132,0.288
658,-,Jr,6-5,Riley Dearring,Cal St. Fullerton,BW,PF/C,1.9,-0.3,0.2,-16.4,-12.6,-3.8,55.5,102.6,25.1,36.1,47.6,0.0,9.2,3.4,37.5,0.3,0.0,1.2,14.6,7.8,0-0,0.000,1.000,0.167,0.333,0.286,12.4,3-11,0.273
659,-,Sr,6-5,Colin Gruber,UC Riverside,BW,Scoring PG,15.9,-0.3,0.6,-4.7,-3.4,-1.3,79.6,110.2,17.0,36.8,42.8,4.2,9.4,6.9,19.7,0.5,2.2,2.0,19.3,3.9,0-0,0.000,0.200,0.318,0.880,0.303,7.9,21-72,0.292
660,-,Sr,6-7,Sam Manu,UC Davis,BW,Wing F,5.7,-0.3,0.4,-7.3,-6.5,-0.8,81.1,106.8,12.9,57.1,75.3,4.8,11.3,2.6,36.2,0.1,0.0,1.2,38.1,5.9,2-2,1.000,0.900,0.429,0.500,0.706,1.6,0-4,0.000
661,-,Sr,6-5,Tristan Wilson,Long Beach St.,BW,Wing F,28.5,-0.3,1.3,-4.2,-3.6,-0.5,80.0,99.8,19.0,41.8,42.8,7.9,12.9,7.4,26.1,0.4,0.3,1.7,27.8,3.6,0-0,0.000,0.625,0.396,0.481,0.462,2.9,3-19,0.158
662,-,So,6-3,RJ Rhoden,Long Beach St.,BW,Wing G,14.9,-0.3,0.9,-5.7,-4.3,-1.3,79.5,106.2,14.4,45.4,51.5,5.6,14.9,5.8,28.4,0.5,0.3,1.0,44.1,4.5,2-3,0.667,0.440,0.000,0.450,0.324,3.5,9-20,0.450
663,-,Jr,6-3,Garett Jefferson,Hawaii,BW,Scoring PG,25.4,-0.3,0.8,-4.0,-5.0,0.9,79.7,103.0,17.1,38.8,43.4,3.6,8.6,11.2,26.3,0.8,1.6,3.5,89.5,5.1,5-9,0.556,0.540,0.283,0.510,0.417,1.1,1-11,0.091
664,-,So,6-2,Maddox Monson,Long Beach St.,BW,Wing G,1.6,-0.3,0.1,-13.4,-9.8,-3.6,49.5,110.8,13.6,22.7,55.1,0.0,5.0,7.2,17.6,0.7,0.0,1.3,22.7,3.6,0-0,0.000,0.500,0.000,0.000,0.250,8.7,1-7,0.143
665,-,Sr,6-7,Anthony Silvestri,Cal Poly,BW,PF/C,12.7,-0.3,0.6,-7.3,-5.1,-2.2,84.8,106.4,14.2,38.6,41.2,4.3,11.2,1.5,9.2,0.7,0.2,0.8,7.8,5.7,0-0,0.000,0.667,0.333,0.444,0.417,14.9,26-102,0.255
666,-,Jr,7-0,Francesco Borra,UC Davis,BW,C,14.0,-0.3,0.9,-5.5,-6.2,0.7,85.4,104.2,14.0,55.3,57.5,6.9,13.1,7.0,33.5,0.4,3.6,1.1,59.4,6.8,9-12,0.750,0.536,0.654,0.463,0.573,0.3,0-3,0.000
667,-,So,6-5,Clifton Powell Jr.,UC Santa Barbara,BW,PF/C,23.4,-0.3,1.2,-6.4,-4.7,-1.6,77.9,110.6,22.6,40.2,40.4,2.8,10.1,16.0,21.6,0.8,0.7,1.6,18.7,4.0,2-2,1.000,0.477,0.301,0.472,0.358,6.0,19-56,0.339
668,-,So,6-6,Javonntie Jackson,Long Beach St.,BW,PF/C,10.7,-0.3,0.6,-5.3,-4.5,-0.7,79.2,107.6,15.2,42.2,50.9,8.8,12.7,5.6,32.9,0.4,0.3,2.3,37.6,5.5,1-1,1.000,0.652,0.231,0.632,0.426,0.8,1-4,0.250
669,-,Sr,6-2,Spencer Rivers,UC Irvine,BW,Combo G,13.3,-0.4,0.8,-3.6,-4.6,1.0,84.8,102.0,13.8,44.0,47.2,0.6,8.6,12.9,25.7,1.5,0.2,1.7,20.7,3.7,0-0,0.000,0.524,0.393,0.385,0.449,6.0,17-59,0.288
670,-,Jr,6-7,David Chavarria,UC Riverside,BW,PF/C,19.1,-0.4,1.0,-6.2,-6.4,0.2,85.7,102.6,13.6,47.1,49.9,8.2,14.0,5.2,29.5,0.4,1.1,0.8,63.9,7.0,3-4,0.750,0.550,0.292,0.566,0.476,0.1,0-1,0.000
671,-,Jr,7-1,Christian Richardson,Long Beach St.,BW,C,14.1,-0.4,0.4,-9.6,-9.4,-0.2,80.8,117.0,14.3,70.6,105.0,4.4,10.7,4.8,42.0,0.2,4.5,0.4,111.8,9.5,5-6,0.833,0.846,0.250,0.526,0.706,0.0,0-0,0.000
672,-,Sr,6-9,Jeffrey Yan,Long Beach St.,BW,C,2.7,-0.4,0.2,-5.6,-3.4,-2.1,75.9,110.4,11.1,22.2,52.7,9.7,7.6,8.1,17.2,0.9,0.8,0.0,52.3,3.7,0-0,0.000,0.375,0.100,0.778,0.222,0.0,0-0,0.000
673,-,Sr,6-5,Ade Adebayo,UC Davis,BW,Wing G,37.5,-0.4,1.8,-2.8,-3.9,1.1,94.5,104.3,9.4,53.7,58.5,4.6,10.6,6.7,29.7,0.9,2.3,1.7,39.5,4.9,11-14,0.786,0.647,0.333,0.621,0.606,1.0,4-34,0.118
674,-,Sr,6-3,Sean Cunningham,UC Riverside,BW,Scoring PG,65.1,-0.4,2.1,-3.2,-3.4,0.3,83.8,103.5,19.4,39.1,43.7,2.0,12.3,22.5,26.6,1.3,1.3,2.4,36.5,3.2,1-3,0.333,0.400,0.281,0.635,0.359,4.5,49-159,0.308
675,-,Sr,6-7,Bj Shearry,UC Riverside,BW,PF/C,55.7,-0.4,2.3,-0.3,-3.1,2.8,86.6,98.2,16.8,40.3,42.8,8.9,13.6,6.2,18.7,0.6,8.6,2.6,36.5,4.9,17-18,0.944,0.573,0.282,0.542,0.408,0.1,0-3,0.000
676,-,Sr,6-1,Paolo Mancasola,UC Davis,BW,Scoring PG,60.7,-0.4,1.0,-7.2,-4.7,-2.4,90.6,114.5,14.6,43.7,49.4,1.2,6.6,23.0,31.5,1.6,0.1,1.0,54.4,3.9,0-0,0.000,0.490,0.327,0.679,0.430,1.8,14-46,0.304
677,-,Sr,6-0,Keith Smith,Cal Poly,BW,Pure PG,54.0,-0.4,1.7,-3.7,-3.6,-0.1,87.7,108.2,16.6,45.4,49.7,1.6,10.7,23.7,26.9,1.6,1.0,2.9,24.6,3.1,1-1,1.000,0.491,0.329,0.656,0.412,4.6,68-196,0.347
678,-,Sr,6-0,Justin Joyner,UC Santa Barbara,BW,Pure PG,52.7,-0.4,2.4,-1.3,-3.0,1.7,91.4,98.9,11.8,47.5,46.6,1.2,8.4,25.6,31.9,2.2,0.2,3.0,27.4,3.5,0-0,0.000,0.455,0.208,0.400,0.392,3.9,45-125,0.360
679,-,Sr,6-7,Garrison Goode,UC Davis,BW,PF/C,48.3,-0.4,2.1,-2.2,-3.3,1.1,92.4,103.8,11.5,47.4,50.4,7.5,9.5,5.4,23.4,0.7,1.8,1.7,61.2,4.1,21-28,0.750,0.538,0.284,0.554,0.475,0.0,0-1,0.000
680,-,Jr,6-4,Aidan Prukop,Cal Poly,BW,Wing G,15.2,-0.4,0.6,-8.0,-5.8,-2.2,73.8,110.2,19.4,35.4,43.2,1.7,11.2,7.0,18.3,0.9,0.6,1.2,17.1,4.2,0-0,0.000,0.360,0.281,0.741,0.303,8.0,20-72,0.278
681,-,Jr,6-4,Brandon Thomas,Hawaii,BW,Wing G,8.5,-0.4,0.6,-7.2,-5.5,-1.7,76.7,105.9,15.7,32.4,43.5,2.9,8.4,8.0,12.6,1.5,0.0,0.9,31.4,3.4,0-0,0.000,0.500,0.200,0.500,0.333,9.2,7-33,0.212
682,-,Fr,6-0,Matthew Owies,Hawaii,BW,Combo G,24.1,-0.4,0.9,-4.6,-4.7,0.1,81.8,105.6,16.9,38.2,44.6,2.5,7.0,15.2,23.8,1.1,0.4,2.2,23.5,3.0,0-0,0.000,0.615,0.286,0.750,0.412,6.8,8-34,0.235
683,-,So,6-2,Marcel Stevens,Cal St. Northridge,BW,Combo G,30.4,-0.4,1.1,-3.9,-3.7,-0.2,87.9,109.8,13.7,42.5,49.9,2.0,7.8,12.7,24.4,1.2,0.5,3.0,23.9,3.4,0-0,0.000,0.429,0.206,0.857,0.291,6.8,29-85,0.341
684,-,Sr,6-10,Colin Russell,UC Davis,BW,C,13.5,-0.4,0.6,-7.2,-6.2,-1.0,81.3,106.7,12.0,36.5,46.3,11.8,10.9,3.3,25.1,0.4,1.0,1.6,54.5,7.4,0-1,0.000,0.429,0.154,0.371,0.365,0.0,0-0,0.000
685,-,Sr,6-3,Ofure Ujadughele,UC Irvine,BW,Scoring PG,25.2,-0.4,1.4,-1.5,-5.2,3.7,85.7,93.6,12.7,32.1,48.4,7.8,15.4,13.2,26.8,1.5,0.3,3.5,49.8,6.2,0-0,0.000,0.436,0.227,0.611,0.350,1.4,5-38,0.132
686,-,Jr,6-9,John Underwood,Cal St. Fullerton,BW,C,7.6,-0.4,0.6,-6.4,-8.1,1.7,75.3,96.3,13.5,38.5,41.7,10.4,18.3,0.8,31.3,0.1,10.3,1.5,78.6,11.7,6-7,0.857,0.714,0.000,0.476,0.385,0.0,0-0,0.000
687,-,Jr,7-0,Mahamadou Kaba-Camara,Cal St. Northridge,BW,C,15.2,-0.4,0.5,-6.6,-5.8,-0.8,92.0,112.7,7.8,55.2,52.3,6.2,14.2,0.7,18.9,0.1,5.0,0.8,41.0,8.1,12-14,0.857,0.667,0.316,0.208,0.552,0.0,0-0,0.000
688,-,Jr,6-5,Sheldon Blackwell,Cal St. Fullerton,BW,Wing F,37.7,-0.4,1.4,-3.0,-3.2,0.2,89.6,108.6,13.2,42.5,44.8,3.3,12.5,15.8,22.5,1.7,0.5,1.7,47.1,3.1,3-3,1.000,0.541,0.274,0.543,0.444,1.6,8-36,0.222
689,-,Jr,6-4,Chris Collins,Cal St. Fullerton,BW,Wing G,23.8,-0.4,0.8,-7.2,-5.3,-1.9,82.8,111.2,16.2,39.0,42.4,5.2,7.8,12.6,23.2,1.0,0.2,1.2,69.9,4.8,1-1,1.000,0.591,0.250,0.500,0.406,0.4,0-4,0.000
690,-,Jr,6-11,Dylan Johns,Cal St. Northridge,BW,C,16.4,-0.5,0.7,-3.7,-4.3,0.6,86.5,107.4,10.8,57.1,56.3,6.5,8.6,4.5,33.8,0.4,5.8,0.8,32.3,6.2,7-7,1.000,0.628,0.500,0.455,0.571,0.0,0-0,0.000
691,-,Fr,6-3,Donovan Johnson,Cal St. Northridge,BW,Combo G,33.4,-0.5,0.8,-6.5,-5.2,-1.4,79.7,108.8,17.4,33.8,39.6,2.4,4.4,7.9,21.6,0.7,0.6,2.9,33.3,4.3,0-1,0.000,0.500,0.185,0.722,0.345,7.2,11-50,0.220
692,-,Jr,6-2,Daeshawn Eaton,Cal St. Fullerton,BW,Combo G,20.3,-0.5,1.0,-5.0,-5.5,0.4,73.3,98.8,19.3,37.1,48.1,3.1,12.3,13.6,27.5,1.0,0.4,2.7,11.4,2.9,0-0,0.000,0.294,0.286,0.750,0.292,4.9,8-22,0.364
693,-,Sr,6-0,Hayden Jory,Cal Poly,BW,Combo G,5.9,-0.5,0.4,-10.3,-7.9,-2.4,66.8,111.4,16.2,35.8,47.5,2.0,13.1,11.5,37.2,0.5,0.7,1.2,21.9,5.5,0-0,0.000,0.333,0.000,0.818,0.211,6.9,10-34,0.294
694,-,So,6-9,Joe Boyd,Cal St. Fullerton,BW,C,34.1,-0.5,1.0,-5.6,-4.8,-0.8,88.3,107.8,12.0,41.0,47.7,6.8,18.6,3.7,24.2,0.4,1.5,0.5,34.9,5.1,0-0,0.000,0.522,0.278,0.767,0.417,0.1,0-2,0.000
695,-,So,6-7,Julien Franklin,Cal Poly,BW,Wing G,31.1,-0.5,1.4,-3.3,-3.5,0.3,85.8,104.7,13.6,39.7,45.8,4.9,13.1,9.2,20.8,1.0,0.8,1.5,32.7,3.9,2-2,1.000,0.512,0.212,0.642,0.426,4.6,21-88,0.239
696,-,Sr,6-7,Maxwell Kupchak,UC Santa Barbara,BW,Stretch 4,20.8,-0.5,1.3,-4.3,-4.5,0.3,88.4,104.9,14.1,38.3,46.7,4.1,15.8,7.6,20.9,0.8,2.0,0.8,40.1,4.2,5-5,1.000,0.652,0.243,0.708,0.402,1.8,6-32,0.188
697,-,Fr,6-4,Cam Slaymaker,Cal St. Northridge,BW,Scoring PG,21.7,-0.5,0.7,-6.5,-4.9,-1.6,81.9,111.7,14.3,35.5,47.7,0.4,8.3,6.4,15.3,0.7,0.0,1.8,25.8,3.0,0-0,0.000,0.000,0.435,0.813,0.385,7.9,8-36,0.222
